Freq.	V(n002)
1.24519708473503e+002	(1.99998253381058e+001dB,-7.20833341570497e-002°)
1.38949549437313e+002	(1.99998237783801e+001dB,-8.04366294750192e-002°)
1.55051577983261e+002	(1.99998218362149e+001dB,-8.97579344066535e-002°)
1.73019573884588e+002	(1.99998194178377e+001dB,-1.00159424362993e-001°)
1.93069772888324e+002	(1.99998164064834e+001dB,-1.11766273562178e-001°)
2.15443469003187e+002	(1.99998126567566e+001dB,-1.24718161133428e-001°)
2.40409918350996e+002	(1.99998079876123e+001dB,-1.39170951727584e-001°)
2.68269579527971e+002	(1.99998021736145e+001dB,-1.55298570762961e-001°)
2.99357729472047e+002	(1.99997949340521e+001dB,-1.73295096787225e-001°)
3.34048498351322e+002	(1.99997859193870e+001dB,-1.93377096101718e-001°)
3.72759372031491e+002	(1.99997746943783e+001dB,-2.15786227681167e-001°)
4.15956216307182e+002	(1.99997607170706e+001dB,-2.40792149425691e-001°)
4.64158883361275e+002	(1.99997433126305e+001dB,-2.68695760677491e-001°)
5.17947467923118e+002	(1.99997216407695e+001dB,-2.99832819665310e-001°)
5.77969288415327e+002	(1.99996946551821e+001dB,-3.34577978998442e-001°)
6.44946677103758e+002	(1.99996610530408e+001dB,-3.73349287140153e-001°)
7.19685673001147e+002	(1.99996192121146e+001dB,-4.16613209434303e-001°)
8.03085722139146e+002	(1.99995671124767e+001dB,-4.64890227812906e-001°)
8.96150501946598e+002	(1.99995022390301e+001dB,-5.18761085125936e-001°)
9.99999999999993e+002	(1.99994214601532e+001dB,-5.78873747198070e-001°)
1.11588399250774e+003	(1.99993208766240e+001dB,-6.45951163412508e-001°)
1.24519708473502e+003	(1.99991956335511e+001dB,-7.20799915034200e-001°)
1.38949549437313e+003	(1.99990396862726e+001dB,-8.04319849733386e-001°)
1.55051577983261e+003	(1.99988455089756e+001dB,-8.97514810628884e-001°)
1.73019573884588e+003	(1.99986037320635e+001dB,-1.00150457777488e+000°)
1.93069772888324e+003	(1.99983026909041e+001dB,-1.11753815053856e+000°)
2.15443469003187e+003	(1.99979278643936e+001dB,-1.24700850990252e+000°)
2.40409918350995e+003	(1.99974611765704e+001dB,-1.39146900928654e+000°)
2.68269579527970e+003	(1.99968801280973e+001dB,-1.55265154984459e+000°)
2.99357729472047e+003	(1.99961567164959e+001dB,-1.73248670397390e+000°)
3.34048498351322e+003	(1.99952560942875e+001dB,-1.93312594943762e+000°)
3.72759372031491e+003	(1.99941349022196e+001dB,-2.15696617604451e+000°)
4.15956216307181e+003	(1.99927392001721e+001dB,-2.40667660830715e+000°)
4.64158883361274e+003	(1.99910019005758e+001dB,-2.68522826194240e+000°)
5.17947467923117e+003	(1.99888395877310e+001dB,-2.99592600379682e+000°)
5.77969288415326e+003	(1.99861485807654e+001dB,-3.34244320522670e+000°)
6.44946677103757e+003	(1.99828000675542e+001dB,-3.72885886492218e+000°)
7.19685673001146e+003	(1.99786341015048e+001dB,-4.15969690102991e+000°)
8.03085722139144e+003	(1.99734522126522e+001dB,-4.63996706314077e+000°)
8.96150501946597e+003	(1.99670083396798e+001dB,-5.17520656115039e+000°)
9.99999999999991e+003	(1.99589977420835e+001dB,-5.77152101471445e+000°)
1.11588399250774e+004	(1.99490435052971e+001dB,-6.43562264812451e+000°)
1.24519708473502e+004	(1.99366802123915e+001dB,-7.17486275050056e+000°)
1.38949549437312e+004	(1.99213343349218e+001dB,-7.99725420296281e+000°)
1.55051577983261e+004	(1.99023009086830e+001dB,-8.91147832425417e+000°)
1.73019573884588e+004	(1.98787161334775e+001dB,-9.92686830710277e+000°)
1.93069772888323e+004	(1.98495257053135e+001dB,-1.10533591311755e+001°)
2.15443469003186e+004	(1.98134490042745e+001dB,-1.23013911055280e+001°)
2.40409918350995e+004	(1.97689397864735e+001dB,-1.36817512719190e+001°)
2.68269579527970e+004	(1.97141448354605e+001dB,-1.52053343109322e+001°)
2.99357729472046e+004	(1.96468631909977e+001dB,-1.68828030279428e+001°)
3.34048498351321e+004	(1.95645101302256e+001dB,-1.87241293021866e+001°)
3.72759372031490e+004	(1.94640919931942e+001dB,-2.07380012985272e+001°)
4.15956216307181e+004	(1.93422000356349e+001dB,-2.29310940272743e+001°)
4.64158883361273e+004	(1.91950333295595e+001dB,-2.53072202487425e+001°)
5.17947467923116e+004	(1.90184615960382e+001dB,-2.78664083638774e+001°)
5.77969288415325e+004	(1.88081377178238e+001dB,-3.06039921282015e+001°)
6.44946677103756e+004	(1.85596654603634e+001dB,-3.35098376937857e+001°)
7.19685673001144e+004	(1.82688199160126e+001dB,-3.65678652720580e+001°)
8.03085722139143e+004	(1.79318067645379e+001dB,-3.97560293523026e+001°)
8.96150501946595e+004	(1.75455337107080e+001dB,-4.30468871777869e+001°)
9.99999999999989e+004	(1.71078572291144e+001dB,-4.64088033881006e+001°)
1.11588399250774e+005	(1.66177645145764e+001dB,-4.98077201681038e+001°)
1.24519708473502e+005	(1.60754573800364e+001dB,-5.32092975913246e+001°)
1.38949549437312e+005	(1.54823213638861e+001dB,-5.65811393018634e+001°)
1.55051577983261e+005	(1.48407850404040e+001dB,-5.98947975208717e+001°)
1.73019573884588e+005	(1.41540946051543e+001dB,-6.31273068219019e+001°)
1.93069772888323e+005	(1.34260411284512e+001dB,-6.62621067652821e+001°)
2.15443469003186e+005	(1.26606798297888e+001dB,-6.92893396443527e+001°)
2.40409918350994e+005	(1.18620736644865e+001dB,-7.22056133007951e+001°)
2.68269579527970e+005	(1.10340815587963e+001dB,-7.50133779787328e+001°)
2.99357729472046e+005	(1.01801990791700e+001dB,-7.77200789010966e+001°)
3.34048498351321e+005	(9.30344935373232e+000dB,-8.03372244616711e+001°)
3.72759372031490e+005	(8.40631585393466e+000dB,-8.28794706302546e+001°)
4.15956216307180e+005	(7.49070610911976e+000dB,-8.53637794519973e+001°)
4.64158883361272e+005	(6.55793554030748e+000dB,-8.78086724898526e+001°)
5.17947467923115e+005	(5.60872239082689e+000dB,-9.02335721217116e+001°)
5.77969288415324e+005	(4.64318734443608e+000dB,-9.26582051008047e+001°)
6.44946677103754e+005	(3.66085434588087e+000dB,-9.51020322612953e+001°)
7.19685673001143e+005	(2.66065214716388e+000dB,-9.75836643273885e+001°)
8.03085722139142e+005	(1.64091912418823e+000dB,-1.00120225720974e+002°)
8.96150501946594e+005	(5.99416888063747e-001dB,-1.02726636466547e+002°)
9.99999999999988e+005	(-4.66639036271695e-001dB,-1.05414797953534e+002°)
1.11588399250773e+006	(-1.56052100987515e+000dB,-1.08192693019459e+002°)
1.24519708473502e+006	(-2.68589230341386e+000dB,-1.11063445092510e+002°)
1.38949549437312e+006	(-3.84666159222110e+000dB,-1.14024422760766e+002°)
1.55051577983261e+006	(-5.04678401873337e+000dB,-1.17066518217506e+002°)
1.73019573884587e+006	(-6.29001266245339e+000dB,-1.20173757968696e+002°)
1.93069772888323e+006	(-7.57961614907748e+000dB,-1.23323405545615e+002°)
2.15443469003186e+006	(-8.91809075710859e+000dB,-1.26486673930826e+002°)
2.40409918350994e+006	(-1.03069046234629e+001dB,-1.29630076387953e+002°)
2.68269579527969e+006	(-1.17463131583091e+001dB,-1.32717323196813e+002°)
2.99357729472045e+006	(-1.32352760032082e+001dB,-1.35711552165906e+002°)
3.34048498351320e+006	(-1.47714880348943e+001dB,-1.38577604457064e+002°)
3.72759372031489e+006	(-1.63515152289100e+001dB,-1.41284053049707e+002°)
4.15956216307179e+006	(-1.79710076342604e+001dB,-1.43804761853043e+002°)
4.64158883361272e+006	(-1.96249519319589e+001dB,-1.46119872056517e+002°)
5.17947467923114e+006	(-2.13079269249604e+001dB,-1.48216237514084e+002°)
5.77969288415324e+006	(-2.30143347855198e+001dB,-1.50087425975804e+002°)
6.44946677103754e+006	(-2.47385946467568e+001dB,-1.51733448447307e+002°)
7.19685673001142e+006	(-2.64752987959547e+001dB,-1.53160374717184e+002°)
8.03085722139140e+006	(-2.82193422130978e+001dB,-1.54379951084076e+002°)
8.96150501946592e+006	(-2.99660419709571e+001dB,-1.55409272326171e+002°)
1.00000000000000e+007	(-3.17112635941188e+001dB,-1.56270488648981e+002°)
